#{"t_start": 1741110291.654392, "env_id": "ISOEnv-v0"}
r,l,t
-99942.902329,48,0.268151
-103294.724488,48,0.433613
-101050.674616,48,0.6206
-97146.638154,48,0.811772
-103121.914657,48,0.970402
-102455.424267,48,1.132641
-104912.37856,48,1.315634
-99180.539811,48,1.499912
-104720.43962,48,1.676391
-99837.838997,48,1.836105
-101206.645682,48,2.00551
-100690.071827,48,2.174285
-104556.513094,48,2.333494
-103614.747969,48,2.490857
-101178.180278,48,2.655816
-101794.325732,48,2.817069
-102324.323233,48,2.979064
-101414.321244,48,3.148449
-106590.637903,48,3.305292
-102903.640303,48,3.46863
-103947.328177,48,3.6259
-100529.42792,48,3.785633
-100022.744563,48,3.942014
-101523.354273,48,4.103768
-101621.142611,48,4.256314
-97070.868764,48,4.415088
-102038.115015,48,4.572119
-102100.69673,48,4.731531
-104573.638745,48,4.890759
-101477.642784,48,5.056055
-100690.337484,48,5.209705
-101997.260221,48,5.366759
-100533.484618,48,5.520624
-103206.812007,48,5.677854
-96412.751124,48,5.843831
-101949.809687,48,6.008324
-102827.608773,48,6.172263
-102358.688923,48,6.331766
-98675.18381,48,6.489891
-99601.678474,48,6.649379
-100581.71178,48,6.802984
-102801.073516,48,6.96162
